,PersonID,FullName,PreferredName,SearchName,IsPermittedToLogon,LogonName,IsExternalLogonProvider,HashedPassword,IsSystemUser,IsEmployee,IsSalesperson,UserPreferences,PhoneNumber,FaxNumber,EmailAddress,Photo,CustomFields,OtherLanguages,LastEditedBy,ValidFrom,ValidTo
0,1,Data Conversion Only,Data Conversion Only,Data Conversion Only Data Conversion Only,False,NO LOGON,False,,False,False,False,"{""theme"":""blitzer"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",,,,,,,1,2016-05-31 23:14:00,
1,2,Kayla Woodcock,Kayla,Kayla Kayla Woodcock,True,kaylaw@wideworldimporters.com,False,0x616E9B558976525E7F14D780EBAE80C68586958DC97C506DB418E2E2C49E340E,True,True,True,"{""theme"":""humanity"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,kaylaw@wideworldimporters.com,,"{ ""OtherLanguages"": [""Polish"",""Chinese"",""Japanese""] ,""HireDate"":""2008-04-19T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Plains"",""CommissionRate"":""0.98""}","[""Polish"",""Chinese"",""Japanese""]",1,2016-05-31 23:14:00,
2,3,Hudson Onslow,Hudson,Hudson Hudson Onslow,True,hudsono@wideworldimporters.com,False,0x23668CCC579015EA934736C3D7B87E86360EB5EEE164C4368A7B103C11E3436E,True,True,True,"{""theme"":""dark-hive"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,hudsono@wideworldimporters.com,,"{ ""OtherLanguages"": [] ,""HireDate"":""2012-03-05T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""New England"",""CommissionRate"":""3.62""}",[],1,2016-05-31 23:14:00,
3,4,Isabella Rupp,Isabella,Isabella Isabella Rupp,True,isabellar@wideworldimporters.com,False,0xB45E7C4E37C32FA9A5A3161B9DB1C9C1E787BB7DB424E7FD7A20895D4BFB5D31,True,True,False,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,isabellar@wideworldimporters.com,,"{ ""OtherLanguages"": [""Turkish"",""Slovenian""] ,""HireDate"":""2010-08-24T00:00:00"",""Title"":""Team Member""}","[""Turkish"",""Slovenian""]",1,2016-05-31 23:14:00,
4,5,Eva Muirden,Eva,Eva Eva Muirden,False,evam@wideworldimporters.com,False,0xE682D36E43B6A3940ED6428B2DE3CEEDD1763C5E0EC02FFBDC35671F9B3E5F3A,True,True,False,"{""theme"":""le-frog"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,evam@wideworldimporters.com,,"{ ""OtherLanguages"": [""Lithuanian""] ,""HireDate"":""2012-01-22T00:00:00"",""Title"":""Team Member""}","[""Lithuanian""]",1,2016-05-31 23:14:00,
5,6,Sophia Hinton,Sophia,Sophia Sophia Hinton,True,sophiah@wideworldimporters.com,False,0x451BB10A515F06331540DB392031F9D9BC4EF536A1F86D1CA6C7394556BAA3C0,True,True,True,"{""theme"":""black-tie"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,sophiah@wideworldimporters.com,,"{ ""OtherLanguages"": [""Swedish""] ,""HireDate"":""2007-05-14T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Southeast"",""CommissionRate"":""4.55""}","[""Swedish""]",1,2016-05-31 23:14:00,
6,7,Amy Trefl,Amy,Amy Amy Trefl,True,amyt@wideworldimporters.com,False,0x7A92BBEA830C5ED027DCC1D710130EED9EA50FB3E6D5F793DDEFC4B50215033F,True,True,True,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,amyt@wideworldimporters.com,,"{ ""OtherLanguages"": [""Slovak"",""Spanish"",""Polish""] ,""HireDate"":""2009-02-15T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Southeast"",""CommissionRate"":""0.58""}","[""Slovak"",""Spanish"",""Polish""]",1,2016-05-31 23:14:00,
7,8,Anthony Grosse,Anthony,Anthony Anthony Grosse,True,anthonyg@wideworldimporters.com,False,0x2FD8B838A3C77778C990F464073AA23C0EEE019763ED6A99C77457E8691819DE,True,True,True,"{""theme"":""blitzer"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,anthonyg@wideworldimporters.com,,"{ ""OtherLanguages"": [""Croatian"",""Dutch"",""Bokmål""] ,""HireDate"":""2010-07-23T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Mideast"",""CommissionRate"":""0.11""}","[""Croatian"",""Dutch"",""Bokmål""]",1,2016-05-31 23:14:00,
8,9,Alica Fatnowna,Alica,Alica Alica Fatnowna,True,alicaf@wideworldimporters.com,False,0x7DFAB08E9AC574C5B15CF19D18E5B3EB466EAC7392F4295815B08221E78EA790,True,True,False,"{""theme"":""humanity"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,alicaf@wideworldimporters.com,,"{ ""OtherLanguages"": [] ,""HireDate"":""2007-12-07T00:00:00"",""Title"":""General Manager""}",[],1,2016-05-31 23:14:00,
9,10,Stella Rosenhain,Stella,Stella Stella Rosenhain,True,stellar@wideworldimporters.com,False,0x1BA4B55887E2BDCB06087A20E1CC608ADDCA538BABEC0441D2D6704DCAFE2EA4,True,True,False,"{""theme"":""dark-hive"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,stellar@wideworldimporters.com,,"{ ""OtherLanguages"": [""Dutch"",""Finnish"",""Lithuanian""] ,""HireDate"":""2007-11-17T00:00:00"",""Title"":""Warehouse Supervisor""}","[""Dutch"",""Finnish"",""Lithuanian""]",1,2016-05-31 23:14:00,
10,11,Ethan Onslow,Ethan,Ethan Ethan Onslow,True,ethano@wideworldimporters.com,False,0xD70F37F5C019499959DDF987E5343B957FEB58959A0270E06919D47F2E84D409,True,True,False,"{""theme"":""ui-darkness"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,ethano@wideworldimporters.com,,"{ ""OtherLanguages"": [] ,""HireDate"":""2011-12-17T00:00:00"",""Title"":""Warehouse Supervisor""}",[],1,2016-05-31 23:14:00,
11,12,Henry Forlonge,Henry,Henry Henry Forlonge,True,henryf@wideworldimporters.com,False,0x3F74BAD95BD9059EFCF80F983899E24369959FD488113AA2D7616823A91659CF,True,True,False,"{""theme"":""le-frog"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,henryf@wideworldimporters.com,,"{ ""OtherLanguages"": [""Greek"",""Slovak""] ,""HireDate"":""2009-03-18T00:00:00"",""Title"":""Team Member""}","[""Greek"",""Slovak""]",1,2016-05-31 23:14:00,
