,InvoiceID,CustomerID,BillToCustomerID,OrderID,DeliveryMethodID,ContactPersonID,AccountsPersonID,SalespersonPersonID,PackedByPersonID,InvoiceDate,CustomerPurchaseOrderNumber,IsCreditNote,CreditNoteReason,Comments,DeliveryInstructions,InternalComments,TotalDryItems,TotalChillerItems,DeliveryRun,RunPosition,ReturnedDeliveryData,ConfirmedDeliveryTime,ConfirmedReceivedBy,LastEditedBy,LastEditedWhen
0,68563,449,401,24641,3,2097,2001,20,11,2022-05-02,11617,False,,,"Suite 120, 1400 Kongpaisarn Street",,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69613""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T07:05:00"",""ConNote"":""EAN-125-69613"",""DriverID"":12,""Latitude"":39.1945484,""Longitude"":-78.6041789,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T07:05:00"",""ReceivedBy"":""Catalina Nechita""}",2016-05-03 07:05:00,Catalina Nechita,12,2016-05-03 07:00:00
1,68564,995,995,46724,3,3195,3195,14,11,2022-05-02,11221,False,,,"Suite 11, 1012 Sidhu Street",,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69614""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T07:10:00"",""ConNote"":""EAN-125-69614"",""DriverID"":12,""Latitude"":44.8738805,""Longitude"":-88.1428798,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T07:10:00"",""ReceivedBy"":""Kumar Naicker""}",2016-05-03 07:10:00,Kumar Naicker,12,2016-05-03 07:00:00
2,68565,5,1,57777,3,1009,1001,8,11,2022-05-02,14690,False,,,"Unit 176, 1674 Skujins Boulevard",,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69615""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T07:15:00"",""ConNote"":""EAN-125-69615"",""DriverID"":12,""Latitude"":43.1992244,""Longitude"":-78.5761394,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T07:15:00"",""ReceivedBy"":""Johanna Huiting""}",2016-05-03 07:15:00,Johanna Huiting,12,2016-05-03 07:00:00
3,68566,31,1,62109,3,1061,1001,6,11,2022-05-02,14461,False,,,"Shop 238, 1584 Hadrabova Street",,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69616""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T07:20:00"",""ConNote"":""EAN-125-69616"",""DriverID"":12,""Latitude"":48.0150980,""Longitude"":-122.0637425,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T07:20:00"",""ReceivedBy"":""Kimberly Pace""}",2016-05-03 07:20:00,Kimberly Pace,12,2016-05-03 07:00:00
4,68567,501,401,62681,3,2201,2001,6,11,2022-05-02,13405,False,,,"Shop 295, 62 Berggren Road",,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69617""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T07:25:00"",""ConNote"":""EAN-125-69617"",""DriverID"":12,""Latitude"":43.3820171,""Longitude"":-72.6081490,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T07:25:00"",""ReceivedBy"":""Rahul Sarma""}",2016-05-03 07:25:00,Rahul Sarma,12,2016-05-03 07:00:00
5,68568,183,1,71404,3,1365,1001,14,11,2022-05-02,16430,False,,,"Unit 286, 927 Yadav Street",,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69618""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T07:30:00"",""ConNote"":""EAN-125-69618"",""DriverID"":12,""Latitude"":27.6919746,""Longitude"":-82.7234337,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T07:30:00"",""ReceivedBy"":""Kaan Tekin""}",2016-05-03 07:30:00,Kaan Tekin,12,2016-05-03 07:00:00
6,68569,174,1,71510,3,1347,1001,8,11,2022-05-02,10458,False,,,"Unit 37, 440 Spousta Street",,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69619""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T07:35:00"",""ConNote"":""EAN-125-69619"",""DriverID"":12,""Latitude"":29.1535911,""Longitude"":-81.5720175,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T07:35:00"",""ReceivedBy"":""Matyas Bohuslav""}",2016-05-03 07:35:00,Matyas Bohuslav,12,2016-05-03 07:00:00
7,68570,1032,1032,71544,3,3232,3232,2,11,2022-05-02,11052,False,,,"Suite 13, 263 Meredith Crescent",,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69620""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T07:40:00"",""ConNote"":""EAN-125-69620"",""DriverID"":12,""Latitude"":39.5249615,""Longitude"":-111.5904725,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T07:40:00"",""ReceivedBy"":""Som Mukherjee""}",2016-05-03 07:40:00,Som Mukherjee,12,2016-05-03 07:00:00
8,68571,572,401,71545,3,2343,2001,16,11,2022-05-02,15347,False,,,"Unit 190, 787 Sarkar Street",,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69621""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T07:45:00"",""ConNote"":""EAN-125-69621"",""DriverID"":12,""Latitude"":41.3861872,""Longitude"":-77.0569132,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T07:45:00"",""ReceivedBy"":""Ema Slosar""}",2016-05-03 07:45:00,Ema Slosar,12,2016-05-03 07:00:00
9,68572,914,914,71546,3,3114,3114,20,11,2022-05-02,18321,False,,,"Unit 8, 813 Seleznyov Avenue",,4,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69622""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T07:50:00"",""ConNote"":""EAN-125-69622"",""DriverID"":12,""Latitude"":33.6590552,""Longitude"":-79.5133935,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T07:50:00"",""ReceivedBy"":""Chandana Shasthri""}",2016-05-03 07:50:00,Chandana Shasthri,12,2016-05-03 07:00:00
